word,appearances
alice,385
'i,126
project,87
went,83
again,83
herself,83
thought,74
queen,68
into,67
off,65
king,61
began,58
turtle,57
'and,56
tm,56
mock,56
hatter,55
gryphon,55
quite,55
must,54
head,49
voice,48
such,47
rabbit,46
never,45
looked,45
mouse,42
tone,40
'you,40
i'm,39
duchess,39
dormouse,39
'but,39
cat,35
'what,35
march,35
last,34
things,33
without,33
large,33
found,33
it's,33
works,33
looking,32
once,32
hare,31
put,31
'it,30
heard,30
white,30
door,30
nothing,30
next,30
eyes,29
replied,29
moment,29
e,29
away,28
dear,28
might,28
upon,28
caterpillar,27
electronic,27
course,27
going,27
can't,27
seemed,27
poor,26
i'll,26
yet,25
rather,25
soon,25
shall,25
took,24
'it's,24
'oh,23
half,23
felt,23
'well,23
added,23
won't,23
foundation,22
another,22
terms,22
'why,22
oh,22
getting,22
wish,22
even,21
ever,21
'if,21
minute,21
jury,21
'the,21
anything,21
words,21
end,20
however,20
hand,20
'i'm,20
sure,20
cried,20
sort,20
i've,20
curious,19
till,19
being,19
tea,19
full,19
tried,19
feet,19
soup,18
wonder,18
enough,18
court,18
that's,18
house,18
please,18
agreement,18
something,18
why,18
table,18
spoke,17
you're,17
there's,17
asked,17
sat,17
question,17
alice's,17
eat,17
ran,16
talking,16
people,16
indeed,16
hastily,16
turned,16
'that's,16
garden,16
both,16
license,16
used,16
bit,16
'how,16
high,16
doesn't,16
near,15
seen,15
saying,15
'that,15
gave,15
knew,15
hear,15
mad,15
donations,15
low,15
idea,15
beginning,15
done,15
'come,15
arm,15
called,15
face,15
anxiously,14
left,14
change,14
didn't,14
remember,14
talk,14
saw,14
trying,14
states,14
'i've,14
copyright,14
sea,14
itself,14
let,14
baby,14
perhaps,14
ought,14
room,13
dodo,13
better,13
size,13
'no,13
speak,13
life,13
kept,13
archive,13
dance,13
certainly,13
cook,13
grow,13
still,13
org,13
behind,13
read,13
cats,13
gone,13
far,13
