word,appearances
woman,359
women,216
love,192
called,188
men,171
such,152
things,108
girl,107
own,106
husband,103
being,103
congress,102
wife,102
footnote,98
means,98
thus,96
female,95
kinds,92
lover,89
between,88
project,87
even,84
having,84
gain,79
king,77
herself,75
those,74
without,74
following,71
others,71
into,70
body,70
changed,67
union,67
courtesan,67
wives,67
different,66
person,66
subject,64
th,64
pleasure,64
e,64
vatsyayana,63
page,63
ways,62
various,61
follows,61
though,60
desire,59
kama,59
upon,59
above,58
done,58
sexual,58
works,58
people,57
money,57
both,57
tm,56
four,55
chapter,55
end,54
according,54
wealth,53
given,53
acquainted,53
kind,53
harem,52
away,51
nails,51
embrace,49
plant,49
house,49
account,49
another,48
always,47
country,46
persons,46
friends,46
viz,45
whom,45
therefore,44
together,44
marriage,44
arts,43
passion,43
flowers,42
lingam,42
either,42
places,42
hand,41
verses,41
regard,41
words,41
because,41
making,40
himself,40
life,39
friend,39
practice,39
parts,39
loss,39
whether,39
public,38
kiss,38
again,37
opinion,37
position,37
mind,36
qualities,36
knowledge,36
however,35
marks,34
known,34
married,34
mouth,33
attached,33
signs,33
gains,33
art,33
object,33
young,33
whose,32
lastly,32
towards,32
during,31
gained,31
dharma,31
must,30
manner,30
mother,30
act,30
pressing,30
kissing,30
used,30
proper,30
enjoyment,29
sixty,29
particular,29
breasts,29
becomes,29
mentioned,29
thighs,28
living,28
moreover,28
artha,28
taken,28
anything,28
times,28
electronic,27
sides,27
former,27
certain,27
religious,27
takes,27
purpose,27
ornaments,27
shall,27
themselves,27
presents,26
future,26
betel,26
teeth,26
written,26
going,26
cannot,26
case,26
small,26
return,26
authors,26
c,26
doubt,26
daughter,25
terms,25
head,25
water,25
intercourse,25
gives,25
eyes,25
sound,25
confidence,25
servants,25
united,25
low,25
ends,25
become,25
enjoyed,24
occasion,24
never,24
speak,24
babhravya,24
lovers,24
mixed,24
courtesans,24
described,24
f,24
fear,24
king's,24
enjoy,23
